Name,Rating,Review,Address
Tashann Multi Cuisine Restaurant,4.2,(547),"No. 2/2 A, 1st Floor, Mahadevpura Flyover, near Mega More store, Laxmi Sagar Layout, Mahadevapura, Bengaluru, Karnataka 560048"
Zaatar Multicuisine Restaurant,4.1,"(10,254)","Old Madras Rd, Sakshi Nagar, Pai Layout, Mahadevapura, Bengaluru, Karnataka 560016"
Sreenidhi Family Restaurant & Bar,3.9,(206),"No-178/3, 6th A Cross, GM Palya Main Rd, Bengaluru, Karnataka 560075"
Punjabi Park Family Restaurant,3.5,(566),"16 A, B Narayanapura Rd, Kamadhenu Nagar, B Narayanapura, Mahadevapura, Bengaluru, Karnataka 560016"
New Tandoor Multi Cuisine Family Restaurant,4.0,"(3,025)","#21, Kaggadasapura Main Rd, Nagavarapalya, C V Raman Nagar, Bengaluru, Karnataka 560093"
Flechazo Marathahalli,4.0,"(17,178)","Sy No. 9/1, 2nd Floor, VRR Orchid, above Surya Nissan, Brindavan Extension, Doddanekundi, Mahadevapura, Bengaluru, Karnataka 560048"
Empire Restaurant,4.1,(556),"21, ITPL Main Rd, Garudachar Palya, Mahadevapura, Bengaluru, Karnataka 560048"
Kairali Restaurant,3.7,(560),"6th Cross Rd, Nagavarapalya, C V Raman Nagar, Bengaluru, Karnataka 560093"
Noodle Bar,4.3,"(1,303)","3rd Cross Rd, Devasandra Industrial Estate, Krishnarajapura, Bengaluru, Karnataka 560048"
Gilly's Resto-Bar Marathalli East ORR,3.9,"(4,103)","Opposite EMC2 Corporation, From Marathalli to K R Puram, 62/02, Outer Ring Rd, Doddanekkundi, Mahadevapura, Bengaluru, Karnataka 560048"
SALT - Indian Restaurant Bar & Grill,4.1,"(3,456)","3rd Floor, VR Bengaluru, ITPL Main Rd, Whitefield, B Narayanapura, Bengaluru, Karnataka 560048"
Ramtej restaurant,3.9,(223),"14/2, EPIP Zone, Brookefield, Bengaluru, Karnataka 560037"
Restaurant Chef Pillai Whitefield Bengaluru,4.3,"(5,161)","E 1/94, Opp: Phoenix Market, ITPL Main Rd, Mahadevapura Layout, RHB Colony, Mahadevapura, Bengaluru, Karnataka 560048"
Infinity Family Restaurant,3.8,(513),"Akamma Gowda Complex, 20/4, Outer Ring Rd, near Cake Palace bakery, Saraswathi Nagar, B Narayanapura, Mahadevapura, Bengaluru, Karnataka 560048"
Mayura Sagar Restaurant,4.0,"(5,954)","XPC7+43M, Kundalahalli Main Rd, EPIP Zone, Brookefield, Bengaluru, Karnataka 560037"
Balaji Restaurant,3.0,(1),"XPF2+5Q8, Chinnapanahalli, Dodda Nekkundi Extension, Doddanekkundi, Bengaluru, Karnataka 560037"
"Savoury Family Restaurant, CV Raman Nagar",3.8,"(2,956)","2nd cross, Kaggadasapura Main Rd, Varsova Layout, Kaggadasapura, Bengaluru, Karnataka 560093"
Punjab Junction,3.8,(597),"Puneet Complex, Kaggadasapura Main Rd, Bengaluru, Karnataka 560093"
De Royale Spice Restaurant,4.1,(18),"513, ITPL Main Rd, Maheswari Nagar, Puttappa layout, Mahadevapura, Bengaluru, Karnataka 560048"
RB Gardenia Family Bar & Restaurant,3.6,(346),"No 143 A, 2nd Main Rd, Sakshi Nagar, Pai Layout, Krishnarajapura, Bengaluru, Karnataka 560016"
Punjabi Tandoor,3.9,(549),"737/1, Kohinoor Square, Malleshpalya Main Rd, Malleshpalya, New Tippasandra, Bengaluru, Karnataka 560075"
Chungwok restaurant,4.7,(95),"No 11/13 shivaganga complex. shivaganga layout, Outer Ring Rd, behind more megastore, Mahadevapura, Bengaluru, Karnataka 560048"
ISIRI Resto Bar - Theme Restaurant,4.4,"(7,529)","Doddanekundi Junction, Outer Ring Rd, Doddanekkundi, Bengaluru, Karnataka 560037"
Sattvam Whitefield,4.4,"(2,402)","138/139, ITPL मेन मार्ग, opp. Decathlon, Adjacent to Metro Wholesale, Garudachar Palya, Mahadevapura, Bengaluru, Karnataka 560048"
Magical Spices Fine Dining Restaurant,3.9,(742),"Old Madras Rd, Nagavarapalya, Bennigana Halli, Bengaluru, Karnataka 560093"
Hongkong Garden,4.0,(703),"Vignana Doddanekundi, Kaggadasapura, 17, Kaggadasapura Main Rd, Vignan Nagar, Doddanekundi, Kaggadasapura, Bengaluru, Karnataka 560037"
"Kairali Mess, Kerala Style Food",4.0,(706),"Road to, near to RR Bakery, A Narayanapura, Pai Layout, Mahadevapura, Bengaluru, Karnataka 560016"
Rannaghar Restaurant,3.7,(276),"#11,12 1A, Vignan Nagar New, Malleshpalya, Extension, Bengaluru, Karnataka 560075"
Hungree Belly,3.7,(528),"73, 1st Main Rd, Vignan Nagar, LBS Nagar, Vimanapura, Bengaluru, Karnataka 560075"
Bhavani Shree Upahara Restaurant,3.8,(658),"1, 5th Main Rd, Malleshpalya, Kaggadasapura, Bengaluru, Karnataka 560075"
Queens Restaurant,3.6,(9),"Prestige Technostar, Doddanakundi Industrial Area 2, Phase 1, Brookefield, Bengaluru, Karnataka 560048"
Shree Restaurant,4.0,(4),"Near, Maheshwaramma Temple Rd, Maheswari Nagar, Mahadevapura, Bengaluru, Karnataka 560048"
Sri R Restaurant,3.7,(3),"250, 1st cross, ITPL Main Rd, Kundalahalli Colony, Bengaluru, Karnataka 560037"
New Krishna Sagar Vegetarian,3.8,"(1,268)","No.205/A, Old Chethan Theater, C V Raman Nagar, Nagavarapalaya Main Road, Bengaluru, Karnataka 560093"
Udupi Ruchi,4.2,(832),"Kaggadasapura to Outer Ring Rd, Kaggadasapura, Bengaluru, Karnataka 560093"
